Date,Original Views,Original Likes,Original Comments,Original Shares,Original Video Count,Repost Views,Repost Likes,Repost Comments,Repost Shares,Repost Video Count,Total Views,Total Likes,Total Comments,Total Shares,Total Video Count
2025-12-01,20182424,456536,9139,20356,28,2321206,101581,2098,6292,230,37214197,259300,5251,14037,1163
2025-12-02,20185105,456667,9145,20370,28,2321714,101588,2099,6297,230,37286846,259542,5254,14052,1163
2025-12-03,20187431,456797,9149,20387,28,2322268,101591,2099,6297,230,37324407,259630,5267,14055,1164
2025-12-04,20193874,457071,9156,20406,29,2322521,101596,2099,6298,230,37366021,259726,5267,14061,1165
2025-12-05,20303887,457309,9165,20433,29,2322912,101598,2098,6301,230,37408464,259794,5267,14070,1165
2025-12-06,20312478,458032,9184,20484,29,2322758,101598,2094,6301,229,37475213,259939,5264,14079,1165
2025-12-07,20425802,459021,9206,20570,29,2323123,101606,2094,6301,229,37545961,260073,5270,14086,1167
2025-12-08,20431480,459301,9218,20590,30,2323557,101609,2094,6305,229,37620512,260218,5274,14108,1169
2025-12-09,20440316,459621,9227,20620,30,2323899,101614,2094,6306,229,37683271,260332,5277,14117,1171
2025-12-10,20445212,459877,9233,20634,30,2281464,100698,1997,6270,201,37707136,259594,5187,14089,1148
